# Summary: Whole-Script Confusables
# File: confusablesWholeScript.txt
# Version: 8.0.0
# Generated: 2015-05-17, 03:09:04 GMT
# Checkin: $Revision: 1.32 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# This data is used for determining whether a strings is a
# whole-script or mixed-script confusable.
# The mappings here ignore common and inherited script characters,
# such as accents.

# Lowercase Only

# Arabic; Armenian: [ه٥ھہە۵ۿ]; [օ]

0647          ; Arab; Armn; L #      (ه)  ARABIC LETTER HEH
06D5          ; Arab; Latn; A #      (ە)  ARABIC LETTER AE
06F1          ; Arab; Latn; A #      (۱)  EXTENDED ARABIC-INDIC DIGIT ONE
06F5          ; Arab; Latn; A #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06F7          ; Arab; Latn; A #      (۷)  EXTENDED ARABIC-INDIC DIGIT SEVEN
06FF          ; Arab; Latn; A #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 15

# Arabic; Malayalam: [ه٥ھہە۵ۿ]; [ം൦]

0647          ; Arab; Mlym; A #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Mlym; A #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Mlym; A #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Mlym; A #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Mlym; A #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Mlym; A #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Mlym; A #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Myanmar: [ه٥ھہە۵ۿ]; [ဝ၀]

0647          ; Arab; Mymr; A #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Mymr; A #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Mymr; A #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Mymr; A #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Mymr; A #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Mymr; A #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Mymr; A #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Sinhala: [ه٥ھہە۵ۿ]; [ං]

0647          ; Arab; Sinh; A #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Sinh; A #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Sinh; A #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Sinh; A #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Sinh; A #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Sinh; A #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Sinh; A #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Tamil: [ه٥ھہە۵ۿ]; [௦]

0647          ; Arab; Taml; A #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Taml; A #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Taml; A #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Taml; A #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Taml; A #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Taml; A #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Taml; A #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Telugu: [ه٥ھہە۵ۿ]; [ం౦]

0647          ; Arab; Telu; A #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Telu; A #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Telu; A #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Telu; A #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Telu; A #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Telu; A #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Telu; A #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Arabic; Thai: [ه٥ھہە۵ۿ]; [๐]

0647          ; Arab; Thai; A #      (ه)  ARABIC LETTER HEH
0665          ; Arab; Thai; A #      (٥)  ARABIC-INDIC DIGIT FIVE
06BE          ; Arab; Thai; A #      (ھ)  ARABIC LETTER HEH DOACHASHMEE
06C1          ; Arab; Thai; A #      (ہ)  ARABIC LETTER HEH GOAL
06D5          ; Arab; Thai; A #      (ە)  ARABIC LETTER AE
06F5          ; Arab; Thai; A #      (۵)  EXTENDED ARABIC-INDIC DIGIT FIVE
06FF          ; Arab; Thai; A #      (ۿ)  ARABIC LETTER HEH WITH INVERTED V

# Total code points: 7

# Armenian; Arabic: [օ]; [ه٥ھہە۵ۿ]

0585          ; Armn; Arab; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Bengali: [Օ]; [০]

0555          ; Armn; Beng; A #      (Օ)  ARMENIAN CAPITAL LETTER OH

# Total code points: 1

# Armenian; Cyrillic: [ՏՓՕագզհոռսօ]; [ЅОФопцћһӨөԛԝ]

054F          ; Armn; Cyrl; A #      (Տ)  ARMENIAN CAPITAL LETTER TIWN
0553          ; Armn; Cyrl; A #      (Փ)  ARMENIAN CAPITAL LETTER PIWR
0555          ; Armn; Cyrl; A #      (Օ)  ARMENIAN CAPITAL LETTER OH
0561          ; Armn; Cyrl; A #      (ա)  ARMENIAN SMALL LETTER AYB
0563          ; Armn; Cyrl; A #      (գ)  ARMENIAN SMALL LETTER GIM
0566          ; Armn; Cyrl; A #      (զ)  ARMENIAN SMALL LETTER ZA
0570          ; Armn; Cyrl; A #      (հ)  ARMENIAN SMALL LETTER HO
0578          ; Armn; Cyrl; A #      (ո)  ARMENIAN SMALL LETTER VO
057C..057D    ; Armn; Cyrl; A #  [2] (ռ..ս)  ARMENIAN SMALL LETTER RA..ARMENIAN SMALL LETTER SEH
0585          ; Armn; Cyrl; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 11

# Armenian; Devanagari: [օ]; [०]

0585          ; Armn; Deva; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Georgian: [օ]; [ჿ]

0585          ; Armn; Geor; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Greek: [ՓՕծոռսօ]; [ΘΟΦδηθοπσυ]

0553          ; Armn; Grek; A #      (Փ)  ARMENIAN CAPITAL LETTER PIWR
0555          ; Armn; Grek; A #      (Օ)  ARMENIAN CAPITAL LETTER OH
056E          ; Armn; Grek; A #      (ծ)  ARMENIAN SMALL LETTER CA
0578          ; Armn; Grek; A #      (ո)  ARMENIAN SMALL LETTER VO
057C..057D    ; Armn; Grek; A #  [2] (ռ..ս)  ARMENIAN SMALL LETTER RA..ARMENIAN SMALL LETTER SEH
0585          ; Armn; Grek; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 7

# Armenian; Gujarati: [օ]; [૦]

0585          ; Armn; Gujr; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Gurmukhi: [օ]; [੦]

0585          ; Armn; Guru; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Han: [Օ]; [〇]

0555          ; Armn; Hani; A #      (Օ)  ARMENIAN CAPITAL LETTER OH

# Total code points: 1

# Armenian; Hebrew: [օ]; [ס]

0585          ; Armn; Hebr; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Kannada: [օ]; [ಂ೦]

0585          ; Armn; Knda; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Lao: [օ]; [໐]

0585          ; Armn; Laoo; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Latin: [ՍՏՕագզհոռսցքօ]; [OSUf-hnoqu-wØøħƠơǾ]

054D          ; Armn; Latn; A #      (Ս)  ARMENIAN CAPITAL LETTER SEH
054F          ; Armn; Latn; A #      (Տ)  ARMENIAN CAPITAL LETTER TIWN
0555          ; Armn; Latn; A #      (Օ)  ARMENIAN CAPITAL LETTER OH
0561          ; Armn; Latn; A #      (ա)  ARMENIAN SMALL LETTER AYB
0563          ; Armn; Latn; A #      (գ)  ARMENIAN SMALL LETTER GIM
0566          ; Armn; Latn; A #      (զ)  ARMENIAN SMALL LETTER ZA
0570          ; Armn; Latn; A #      (հ)  ARMENIAN SMALL LETTER HO
0578          ; Armn; Latn; A #      (ո)  ARMENIAN SMALL LETTER VO
057C..057D    ; Armn; Latn; A #  [2] (ռ..ս)  ARMENIAN SMALL LETTER RA..ARMENIAN SMALL LETTER SEH
0581          ; Armn; Latn; A #      (ց)  ARMENIAN SMALL LETTER CO
0584..0585    ; Armn; Latn; A #  [2] (ք..օ)  ARMENIAN SMALL LETTER KEH..ARMENIAN SMALL LETTER OH

# Total code points: 13

# Armenian; Malayalam: [Օօ]; [ംഠ൦]

0555          ; Armn; Mlym; A #      (Օ)  ARMENIAN CAPITAL LETTER OH
0585          ; Armn; Mlym; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 2

# Armenian; Myanmar: [օ]; [ဝ၀]

0585          ; Armn; Mymr; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Oriya: [Օ]; [ଠ୦]

0555          ; Armn; Orya; A #      (Օ)  ARMENIAN CAPITAL LETTER OH

# Total code points: 1

# Armenian; Sinhala: [օ]; [ං]

0585          ; Armn; Sinh; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Tamil: [օ]; [௦]

0585          ; Armn; Taml; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Telugu: [օ]; [ం౦]

0585          ; Armn; Telu; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Armenian; Thai: [օ]; [๐]

0585          ; Armn; Thai; A #      (օ)  ARMENIAN SMALL LETTER OH

# Total code points: 1

# Bengali; Armenian: [০]; [Օ]

09E6          ; Beng; Armn; A #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Cyrillic: [০]; [ОӨ]

09E6          ; Beng; Cyrl; A #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Devanagari: [ঁ়]; [ँ़]

0981          ; Beng; Deva; A #      (ঁ)  BENGALI SIGN CANDRABINDU
09BC          ; Beng; Deva; A #      (়)  BENGALI SIGN NUKTA

# Total code points: 2

# Bengali; Greek: [০]; [ΘΟθ]

09E6          ; Beng; Grek; A #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Gujarati: [ঁ়]; [ઁ઼]

0981          ; Beng; Gujr; A #      (ঁ)  BENGALI SIGN CANDRABINDU
09BC          ; Beng; Gujr; A #      (়)  BENGALI SIGN NUKTA

# Total code points: 2

# Bengali; Gurmukhi: [ঃ়৪৭]; [ਃ਼੧੪]

0983          ; Beng; Guru; A #      (ঃ)  BENGALI SIGN VISARGA
09BC          ; Beng; Guru; A #      (়)  BENGALI SIGN NUKTA
09EA          ; Beng; Guru; A #      (৪)  BENGALI DIGIT FOUR
09ED          ; Beng; Guru; A #      (৭)  BENGALI DIGIT SEVEN

# Total code points: 4

# Bengali; Han: [০]; [〇]

09E6          ; Beng; Hani; A #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Hebrew: [়]; [ִ]

09BC          ; Beng; Hebr; A #      (়)  BENGALI SIGN NUKTA

# Total code points: 1

# Bengali; Kannada: [ঃ]; [ಃ]

0983          ; Beng; Knda; A #      (ঃ)  BENGALI SIGN VISARGA

# Total code points: 1

# Bengali; Latin: [০]; [OØƠǾ]

09E6          ; Beng; Latn; A #      (০)  BENGALI DIGIT ZERO

# Total code points: 1

# Bengali; Malayalam: [ঃ০]; [ഃഠ]

0983          ; Beng; Mlym; A #      (ঃ)  BENGALI SIGN VISARGA
09E6          ; Beng; Mlym; A #      (০)  BENGALI DIGIT ZERO

# Total code points: 2

# Bengali; Myanmar: [ঃ]; [း]

0983          ; Beng; Mymr; A #      (ঃ)  BENGALI SIGN VISARGA

# Total code points: 1

# Bengali; Oriya: [ঁ়০৪৭]; [ଁଃଠ଼୦୨]

0981          ; Beng; Orya; A #      (ঁ)  BENGALI SIGN CANDRABINDU
09BC          ; Beng; Orya; A #      (়)  BENGALI SIGN NUKTA
09E6          ; Beng; Orya; A #      (০)  BENGALI DIGIT ZERO
09EA          ; Beng; Orya; A #      (৪)  BENGALI DIGIT FOUR
09ED          ; Beng; Orya; A #      (৭)  BENGALI DIGIT SEVEN

# Total code points: 5

# Bengali; Sinhala: [ঃ]; [ඃ]

0983          ; Beng; Sinh; A #      (ঃ)  BENGALI SIGN VISARGA

# Total code points: 1

# Bengali; Telugu: [ঃ]; [ః]

0983          ; Beng; Telu; A #      (ঃ)  BENGALI SIGN VISARGA

# Total code points: 1

# Cyrillic; Arabic: [ІЛЮоӅө]; [إاه١٥٨ھہە۱۵۸ۿ]

0406          ; Cyrl; Arab; A #      (І)  CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
041B          ; Cyrl; Arab; A #      (Л)  CYRILLIC CAPITAL LETTER EL
042E          ; Cyrl; Arab; A #      (Ю)  CYRILLIC CAPITAL LETTER YU
043E          ; Cyrl; Arab; A #      (о)  CYRILLIC SMALL LETTER O
04C5          ; Cyrl; Arab; A #      (Ӆ)  CYRILLIC CAPITAL LETTER EL WITH TAIL
04E9          ; Cyrl; Arab; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 6

# Cyrillic; Armenian: [ЅОФопцћһӨөԛԝ]; [ՏՓՕագզհոռսօ]

0405          ; Cyrl; Armn; A #      (Ѕ)  CYRILLIC CAPITAL LETTER DZE
041E          ; Cyrl; Armn; A #      (О)  CYRILLIC CAPITAL LETTER O
0424          ; Cyrl; Armn; A #      (Ф)  CYRILLIC CAPITAL LETTER EF
043E..043F    ; Cyrl; Armn; A #  [2] (о..п)  CYRILLIC SMALL LETTER O..CYRILLIC SMALL LETTER PE
0446          ; Cyrl; Armn; A #      (ц)  CYRILLIC SMALL LETTER TSE
045B          ; Cyrl; Armn; A #      (ћ)  CYRILLIC SMALL LETTER TSHE
04BB          ; Cyrl; Armn; A #      (һ)  CYRILLIC SMALL LETTER SHHA
04E8..04E9    ; Cyrl; Armn; A #  [2] (Ө..ө)  CYRILLIC CAPITAL LETTER BARRED O..CYRILLIC SMALL LETTER BARRED O
051B          ; Cyrl; Armn; A #      (ԛ)  CYRILLIC SMALL LETTER QA
051D          ; Cyrl; Armn; A #      (ԝ)  CYRILLIC SMALL LETTER WE

# Total code points: 12

# Cyrillic; Bengali: [ОӨ]; [০]

041E          ; Cyrl; Beng; A #      (О)  CYRILLIC CAPITAL LETTER O
04E8          ; Cyrl; Beng; A #      (Ө)  CYRILLIC CAPITAL LETTER BARRED O

# Total code points: 2

# Cyrillic; Devanagari: [оө]; [०]

043E          ; Cyrl; Deva; A #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Deva; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Georgian: [оуүұө]; [ყჿ]

043E          ; Cyrl; Geor; A #      (о)  CYRILLIC SMALL LETTER O
0443          ; Cyrl; Geor; A #      (у)  CYRILLIC SMALL LETTER U
04AF          ; Cyrl; Geor; A #      (ү)  CYRILLIC SMALL LETTER STRAIGHT U
04B1          ; Cyrl; Geor; A #      (ұ)  CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE
04E9          ; Cyrl; Geor; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 5

# Cyrillic; Greek: [ІАВГЕК-РТФХЮако-рт-фцєіҐҒҚқҞҟҢҬ-ҲӅӇӉӍӏӨөԑ]; [Α-ΓΕΗ-ΜΟ-ΡΤ-Χαγεη-κο-ρσ-φ]

0406          ; Cyrl; Grek; A #      (І)  CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
0410          ; Cyrl; Grek; A #      (А)  CYRILLIC CAPITAL LETTER A
0412..0413    ; Cyrl; Grek; A #  [2] (В..Г)  CYRILLIC CAPITAL LETTER VE..CYRILLIC CAPITAL LETTER GHE
0415          ; Cyrl; Grek; A #      (Е)  CYRILLIC CAPITAL LETTER IE
041A..0420    ; Cyrl; Grek; A #  [7] (К..Р)  CYRILLIC CAPITAL LETTER KA..CYRILLIC CAPITAL LETTER ER
0422          ; Cyrl; Grek; A #      (Т)  CYRILLIC CAPITAL LETTER TE
0424..0425    ; Cyrl; Grek; A #  [2] (Ф..Х)  CYRILLIC CAPITAL LETTER EF..CYRILLIC CAPITAL LETTER HA
042E          ; Cyrl; Grek; A #      (Ю)  CYRILLIC CAPITAL LETTER YU
0430          ; Cyrl; Grek; A #      (а)  CYRILLIC SMALL LETTER A
043A          ; Cyrl; Grek; A #      (к)  CYRILLIC SMALL LETTER KA
043E..0440    ; Cyrl; Grek; A #  [3] (о..р)  CYRILLIC SMALL LETTER O..CYRILLIC SMALL LETTER ER
0442..0444    ; Cyrl; Grek; A #  [3] (т..ф)  CYRILLIC SMALL LETTER TE..CYRILLIC SMALL LETTER EF
0446          ; Cyrl; Grek; A #      (ц)  CYRILLIC SMALL LETTER TSE
0454          ; Cyrl; Grek; A #      (є)  CYRILLIC SMALL LETTER UKRAINIAN IE
0456          ; Cyrl; Grek; A #      (і)  CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
0490          ; Cyrl; Grek; A #      (Ґ)  CYRILLIC CAPITAL LETTER GHE WITH UPTURN
0492          ; Cyrl; Grek; A #      (Ғ)  CYRILLIC CAPITAL LETTER GHE WITH STROKE
049A..049B    ; Cyrl; Grek; A #  [2] (Қ..қ)  CYRILLIC CAPITAL LETTER KA WITH DESCENDER..CYRILLIC SMALL LETTER KA WITH DESCENDER
049E..049F    ; Cyrl; Grek; A #  [2] (Ҟ..ҟ)  CYRILLIC CAPITAL LETTER KA WITH STROKE..CYRILLIC SMALL LETTER KA WITH STROKE
04A2          ; Cyrl; Grek; A #      (Ң)  CYRILLIC CAPITAL LETTER EN WITH DESCENDER
04AC..04B2    ; Cyrl; Grek; A #  [7] (Ҭ..Ҳ)  CYRILLIC CAPITAL LETTER TE WITH DESCENDER..CYRILLIC CAPITAL LETTER HA WITH DESCENDER
04C5          ; Cyrl; Grek; A #      (Ӆ)  CYRILLIC CAPITAL LETTER EL WITH TAIL
04C7          ; Cyrl; Grek; A #      (Ӈ)  CYRILLIC CAPITAL LETTER EN WITH HOOK
04C9          ; Cyrl; Grek; A #      (Ӊ)  CYRILLIC CAPITAL LETTER EN WITH TAIL
04CD          ; Cyrl; Grek; A #      (Ӎ)  CYRILLIC CAPITAL LETTER EM WITH TAIL
04CF          ; Cyrl; Grek; A #      (ӏ)  CYRILLIC SMALL LETTER PALOCHKA
04E8..04E9    ; Cyrl; Grek; A #  [2] (Ө..ө)  CYRILLIC CAPITAL LETTER BARRED O..CYRILLIC SMALL LETTER BARRED O
0511          ; Cyrl; Grek; A #      (ԑ)  CYRILLIC SMALL LETTER REVERSED ZE

# Total code points: 49

# Cyrillic; Gujarati: [оө]; [૦]

043E          ; Cyrl; Gujr; A #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Gujr; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Gurmukhi: [оө]; [੦]

043E          ; Cyrl; Guru; A #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Guru; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Han: [ОӨ]; [〇]

041E          ; Cyrl; Hani; A #      (О)  CYRILLIC CAPITAL LETTER O
04E8          ; Cyrl; Hani; A #      (Ө)  CYRILLIC CAPITAL LETTER BARRED O

# Total code points: 2

# Cyrillic; Hebrew: [ІЮоө]; [ויןסױ]

0406          ; Cyrl; Hebr; A #      (І)  CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
042E          ; Cyrl; Hebr; A #      (Ю)  CYRILLIC CAPITAL LETTER YU
043E          ; Cyrl; Hebr; A #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Hebr; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 4

# Cyrillic; Kannada: [оө]; [ಂ೦]

043E          ; Cyrl; Knda; A #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Knda; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Lao: [оө]; [໐]

043E          ; Cyrl; Laoo; A #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Laoo; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Latin: [Є-ІЈА-ВЕКМ-ОР-ТХЫЬЮагекмо-ухцъє-іјћҌҍґғҚқҞҟҢҪ-ҲһҽҿӇӉӍ-ӏӔӕӘәӨөԁԌԑԛ-ԝ]; [A-CEG-MOPSTW-Ya-eh-yÆÇØæçøđĦħıĸŁłŦŧƏƠơǾəꞒꞓ]

0404..0406    ; Cyrl; Latn; A #  [3] (Є..І)  CYRILLIC CAPITAL LETTER UKRAINIAN IE..CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
0408          ; Cyrl; Latn; A #      (Ј)  CYRILLIC CAPITAL LETTER JE
0410..0412    ; Cyrl; Latn; A #  [3] (А..В)  CYRILLIC CAPITAL LETTER A..CYRILLIC CAPITAL LETTER VE
0415          ; Cyrl; Latn; A #      (Е)  CYRILLIC CAPITAL LETTER IE
041A          ; Cyrl; Latn; A #      (К)  CYRILLIC CAPITAL LETTER KA
041C..041E    ; Cyrl; Latn; A #  [3] (М..О)  CYRILLIC CAPITAL LETTER EM..CYRILLIC CAPITAL LETTER O
0420..0422    ; Cyrl; Latn; A #  [3] (Р..Т)  CYRILLIC CAPITAL LETTER ER..CYRILLIC CAPITAL LETTER TE
0425          ; Cyrl; Latn; A #      (Х)  CYRILLIC CAPITAL LETTER HA
042B..042C    ; Cyrl; Latn; A #  [2] (Ы..Ь)  CYRILLIC CAPITAL LETTER YERU..CYRILLIC CAPITAL LETTER SOFT SIGN
042E          ; Cyrl; Latn; A #      (Ю)  CYRILLIC CAPITAL LETTER YU
0430          ; Cyrl; Latn; A #      (а)  CYRILLIC SMALL LETTER A
0433          ; Cyrl; Latn; A #      (г)  CYRILLIC SMALL LETTER GHE
0435          ; Cyrl; Latn; A #      (е)  CYRILLIC SMALL LETTER IE
043A          ; Cyrl; Latn; A #      (к)  CYRILLIC SMALL LETTER KA
043C          ; Cyrl; Latn; A #      (м)  CYRILLIC SMALL LETTER EM
043E..0443    ; Cyrl; Latn; A #  [6] (о..у)  CYRILLIC SMALL LETTER O..CYRILLIC SMALL LETTER U
0445..0446    ; Cyrl; Latn; A #  [2] (х..ц)  CYRILLIC SMALL LETTER HA..CYRILLIC SMALL LETTER TSE
044A          ; Cyrl; Latn; A #      (ъ)  CYRILLIC SMALL LETTER HARD SIGN
0454..0456    ; Cyrl; Latn; A #  [3] (є..і)  CYRILLIC SMALL LETTER UKRAINIAN IE..CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
0458          ; Cyrl; Latn; A #      (ј)  CYRILLIC SMALL LETTER JE
045B          ; Cyrl; Latn; A #      (ћ)  CYRILLIC SMALL LETTER TSHE
048C..048D    ; Cyrl; Latn; A #  [2] (Ҍ..ҍ)  CYRILLIC CAPITAL LETTER SEMISOFT SIGN..CYRILLIC SMALL LETTER SEMISOFT SIGN
0491          ; Cyrl; Latn; A #      (ґ)  CYRILLIC SMALL LETTER GHE WITH UPTURN
0493          ; Cyrl; Latn; A #      (ғ)  CYRILLIC SMALL LETTER GHE WITH STROKE
049A..049B    ; Cyrl; Latn; A #  [2] (Қ..қ)  CYRILLIC CAPITAL LETTER KA WITH DESCENDER..CYRILLIC SMALL LETTER KA WITH DESCENDER
049E..049F    ; Cyrl; Latn; A #  [2] (Ҟ..ҟ)  CYRILLIC CAPITAL LETTER KA WITH STROKE..CYRILLIC SMALL LETTER KA WITH STROKE
04A2          ; Cyrl; Latn; A #      (Ң)  CYRILLIC CAPITAL LETTER EN WITH DESCENDER
04AA..04B2    ; Cyrl; Latn; A #  [9] (Ҫ..Ҳ)  CYRILLIC CAPITAL LETTER ES WITH DESCENDER..CYRILLIC CAPITAL LETTER HA WITH DESCENDER
04BB          ; Cyrl; Latn; A #      (һ)  CYRILLIC SMALL LETTER SHHA
04BD          ; Cyrl; Latn; A #      (ҽ)  CYRILLIC SMALL LETTER ABKHASIAN CHE
04BF          ; Cyrl; Latn; A #      (ҿ)  CYRILLIC SMALL LETTER ABKHASIAN CHE WITH DESCENDER
04C7          ; Cyrl; Latn; A #      (Ӈ)  CYRILLIC CAPITAL LETTER EN WITH HOOK
04C9          ; Cyrl; Latn; A #      (Ӊ)  CYRILLIC CAPITAL LETTER EN WITH TAIL
04CD..04CF    ; Cyrl; Latn; A #  [3] (Ӎ..ӏ)  CYRILLIC CAPITAL LETTER EM WITH TAIL..CYRILLIC SMALL LETTER PALOCHKA
04D4..04D5    ; Cyrl; Latn; A #  [2] (Ӕ..ӕ)  CYRILLIC CAPITAL LIGATURE A IE..CYRILLIC SMALL LIGATURE A IE
04D8..04D9    ; Cyrl; Latn; A #  [2] (Ә..ә)  CYRILLIC CAPITAL LETTER SCHWA..CYRILLIC SMALL LETTER SCHWA
04E8..04E9    ; Cyrl; Latn; A #  [2] (Ө..ө)  CYRILLIC CAPITAL LETTER BARRED O..CYRILLIC SMALL LETTER BARRED O
0501          ; Cyrl; Latn; A #      (ԁ)  CYRILLIC SMALL LETTER KOMI DE
050C          ; Cyrl; Latn; A #      (Ԍ)  CYRILLIC CAPITAL LETTER KOMI SJE
0511          ; Cyrl; Latn; A #      (ԑ)  CYRILLIC SMALL LETTER REVERSED ZE
051B..051D    ; Cyrl; Latn; A #  [3] (ԛ..ԝ)  CYRILLIC SMALL LETTER QA..CYRILLIC SMALL LETTER WE

# Total code points: 76

# Cyrillic; Malayalam: [ОоӨө]; [ംഠ൦]

041E          ; Cyrl; Mlym; A #      (О)  CYRILLIC CAPITAL LETTER O
043E          ; Cyrl; Mlym; A #      (о)  CYRILLIC SMALL LETTER O
04E8..04E9    ; Cyrl; Mlym; A #  [2] (Ө..ө)  CYRILLIC CAPITAL LETTER BARRED O..CYRILLIC SMALL LETTER BARRED O

# Total code points: 4

# Cyrillic; Myanmar: [оө]; [ဝ၀]

043E          ; Cyrl; Mymr; A #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Mymr; A #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Oriya: [ОӨ]; [ଠ୦]

041E          ; Cyrl; Orya; A #      (О)  CYRILLIC CAPITAL LETTER O
04E8          ; Cyrl; Orya; A #      (Ө)  CYRILLIC CAPITAL LETTER BARRED O

# Total code points: 2

# Cyrillic; Sinhala: [оө]; [ං]

